Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,27550.349609,27570.320313,27266.939453,27427.320313,27427.320313,70400000
2023-02-14,27705.369141,27721.820313,27553.179688,27602.769531,27602.769531,55800000
2023-02-15,27686.009766,27720.269531,27444.130859,27501.859375,27501.859375,72100000
2023-02-16,27654.720703,27727.660156,27597.119141,27696.439453,27696.439453,68100000
2023-02-17,27484.599609,27608.589844,27466.609375,27513.130859,27513.130859,68800000
2023-02-20,27497.130859,27531.939453,27426.480469,27531.939453,27531.939453,62500000
2023-02-21,27486.089844,27538.289063,27359.119141,27473.099609,27473.099609,61600000
2023-02-22,27265.990234,27300.529297,27046.080078,27104.320313,27104.320313,74700000
2023-02-24,27144.720703,27465.900391,27128.320313,27453.480469,27453.480469,76000000
2023-02-27,27322.730469,27456.220703,27292.740234,27423.960938,27423.960938,59400000
2023-02-28,27515.339844,27585.169922,27400.359375,27445.560547,27445.560547,86300000
2023-03-01,27363.570313,27530.759766,27305.369141,27516.529297,27516.529297,69800000
2023-03-02,27564.820313,27617.800781,27408.539063,27498.869141,27498.869141,69300000
2023-03-03,27683.259766,27961.210938,27655.339844,27927.470703,27927.470703,78200000
2023-03-06,28182.310547,28288.619141,28153.820313,28237.779297,28237.779297,65700000
2023-03-07,28202.589844,28398.269531,28202.589844,28309.160156,28309.160156,69800000
2023-03-08,28237.210938,28469.410156,28232.679688,28444.189453,28444.189453,67200000
2023-03-09,28648.109375,28734.789063,28558.880859,28623.150391,28623.150391,72300000
2023-03-10,28385.289063,28424.240234,28118.740234,28143.970703,28143.970703,111300000
2023-03-13,27886.210938,27906.970703,27631.529297,27832.960938,27832.960938,96100000
2023-03-14,27455.949219,27455.949219,27104.750000,27222.039063,27222.039063,125700000
2023-03-15,27421.660156,27424.939453,27105.990234,27229.480469,27229.480469,86600000
2023-03-16,26796.669922,27057.539063,26632.919922,27010.609375,27010.609375,107100000
2023-03-17,27232.230469,27356.150391,27071.710938,27333.789063,27333.789063,101500000
2023-03-20,27253.730469,27367.179688,26945.669922,26945.669922,26945.669922,79200000
